title,body,labels,assignees
"[Day 1-2][팀원 1] 애니메이션 클래스 계층 구조 설계 및 구현","애니메이션 클래스 계층 구조 설계, FBX SDK 학습, UAnimationAsset/UAnimSequenceBase 기본 클래스 구현, FRawAnimSequenceTrack/FBoneAnimationTrack 구조체 정의. CRITICAL - 다른 팀원이 이 작업 완료 후 시작 가능","critical,team-1,day-1-2,animation",""
"[Day 1-2][팀원 2] UAnimInstance 인터페이스 설계","UAnimInstance 인터페이스 설계, 포즈 데이터 구조(FPoseContext) 설계, UAnimSingleNodeInstance 기본 구조 작성, SkeletalMeshComponent 확장 계획 수립. 의존성: 팀원 1의 애니메이션 클래스 완료 대기","critical,team-2,day-1-2,animation",""
"[Day 1-2][팀원 3] GPU 스키닝 셰이더 설계","GPU 스키닝 셰이더 설계, 본 매트릭스 상수 버퍼 구조 설계, 기존 CPU 스키닝 코드 분석, SkeletalMesh.hlsl 기본 구조 작성","high,team-3,day-1-2,rendering",""
"[Day 1-2][팀원 4] Animation Viewer UI 목업 설계","Animation Viewer UI 목업 설계, AnimNotify 데이터 구조 설계, 기존 SkeletalViewer 코드 분석, 타임라인 UI 프로토타입 작성","medium,team-4,day-1-2,editor",""
"[Day 3-4][팀원 1] FBX 애니메이션 임포트 완료 ⚠️ MILESTONE","UAnimSequence/UAnimDataModel 완전 구현, UFbxLoader에 LoadAnimationFromFbx() 추가, FbxAnimCurve 키프레임 데이터 추출, Position/Rotation/Scale 키 변환, 프레임레이트 변환. Day 3까지 완료 필수. 리스크: 높음","critical,team-1,day-3-4,animation,milestone",""
"[Day 3-4][팀원 2] UAnimInstance 핵심 로직 구현","UAnimInstance 핵심 로직 구현(NativeUpdateAnimation, 시간 추적), UAnimSingleNodeInstance 구현(SetAnimationAsset, Play/Stop, 루핑). 의존성: 팀원 1의 FBX 애니메이션 임포트 완료 후 시작","critical,team-2,day-3-4,animation",""
"[Day 3-4][팀원 3] SkeletalMesh.hlsl 버텍스 셰이더 구현","SkeletalMesh.hlsl 버텍스 셰이더 완전 구현, 본 매트릭스 상수 버퍼 생성, USkeletalMeshComponent에 GPU 스키닝 경로 추가(bUseGPUSkinning, UpdateBoneMatrixBuffer), CPU/GPU 전환 로직","high,team-3,day-3-4,rendering",""
"[Day 3-4][팀원 4] 타임라인 UI 기본 구현","타임라인 UI 기본 구현(ImGui 시간 슬라이더, Play/Pause/Stop 버튼, 프레임 카운터), FAnimNotifyEvent 구조체 정의. 의존성: 팀원 2 완료 대기","medium,team-4,day-3-4,editor",""
"[Day 5-6][팀원 1] 애니메이션 에셋 캐싱 시스템","애니메이션 에셋 캐싱 시스템 구현, 여러 FBX 파일 테스트, 팀원 2/4 통합 지원, 버그 수정 및 최적화","high,team-1,day-5-6,animation",""
"[Day 5-6][팀원 2] 애니메이션 재생 시스템 완료 ⚠️ MILESTONE","SkeletalMeshComponent::PlayAnimation() 완전 구현, TickComponent()에서 애니메이션 평가, 본 트랜스폼 업데이트. Day 5까지 완료 필수. 리스크: 높음 - 핵심 마일스톤","critical,team-2,day-5-6,animation,milestone",""
"[Day 5-6][팀원 2] Animation Blending 구현","FAnimationRuntime::BlendTwoPosesTogether() 구현, 두 애니메이션 블렌딩 테스트, Quaternion SLERP 및 포즈 보간. 리스크: 중간 - Quaternion SLERP 수학적으로 복잡","high,team-2,day-5-6,animation",""
"[Day 5-6][팀원 2] Animation State Machine 구현","UAnimationStateMachine 클래스 구현, State 전환 로직(Idle/Walk/Run/Fly), Character 통합. State 전환이 Character 이동 상태에 따라 자동으로 동작해야 함","high,team-2,day-5-6,animation",""
"[Day 5-6][팀원 3] GPU 스키닝 디버깅 및 최적화","GPU 스키닝 디버깅 및 최적화, RenderDoc 또는 PIX 사용, CPU 스키닝 결과와 비교 검증. GPU가 CPU와 동일한 시각적 결과를 내야 함. 리스크: 중간","high,team-3,day-5-6,rendering",""
"[Day 5-6][팀원 3] 콘솔 명령어 및 퍼포먼스 통계 구현","콘솔 명령어 구현(SetGPUSkinning 1/0, SetCPUSkinning 1/0), StatsOverlayD2D에 STAT SKINNING 추가, CPU/GPU 시간 측정, 본/버텍스 개수 표시","medium,team-3,day-5-6,core",""
"[Day 5-6][팀원 3] MiniDump 시스템 시작","WindowsExceptionHandler 기본 구조 작성, UnhandledExceptionFilter 구현 시작. 파일: Mundi/Source/Runtime/Core/HAL/WindowsExceptionHandler.h/.cpp","low,team-3,day-5-6,core",""
"[Day 5-6][팀원 4] AnimNotify 시스템 구현","UAnimSequenceBase에 Notifies 배열 추가, TriggerAnimNotifies() 구현, HandleAnimNotify() 체인(Component → Actor → Character), 타임라인에 Notify 마커 표시, Notify 배치 UI","medium,team-4,day-5-6,animation",""
"[Day 5-6][팀원 4] SkeletalViewer 확장","애니메이션 선택 드롭다운, 재생 컨트롤, 본 계층구조 + 애니메이션 영향도 표시. 파일 수정: Mundi/Source/Runtime/Engine/SkeletalViewer/ViewerState.h/.cpp","medium,team-4,day-5-6,editor",""
"[Day 7][팀원 1] FBX 임포트 엣지 케이스 처리 및 문서화","FBX 임포트 엣지 케이스 처리, 애니메이션 데이터 검증 로직, 기술 문서 작성","medium,team-1,day-7,animation,documentation",""
"[Day 7][팀원 2] Animation Blending 및 State Machine 완성도 향상","Animation Blending 완성도 향상, State Machine 추가 상태 구현, 버그 수정. 블렌딩이 자연스럽게 보이는지 확인","medium,team-2,day-7,animation",""
"[Day 7][팀원 3] MiniDump 시스템 완성 ⚠️","UnhandledExceptionFilter 구현, MiniDumpWriteDump 래퍼, CauseCrash 콘솔 명령어, GPU 스키닝 최종 최적화, 퍼포먼스 통계 완성도. 테스트: CauseCrash 실행 후 .dmp 파일 생성 확인","high,team-3,day-7,core",""
"[Day 7][팀원 4] 타임라인 UI 완성도 향상 및 문서화","역재생 구현(선택), 타임라인 UI 완성도 향상, AnimNotify 에디터 기능 추가, 사용자 가이드 작성","low,team-4,day-7,editor,documentation",""
"[Day 7][전체 팀] 통합 테스트 및 최종 검증","여러 스켈레탈 메쉬 동시 재생, 복잡한 본 계층구조(50+ 본), 애니메이션 블렌딩 검증, State Machine 전환, GPU vs CPU 퍼포먼스 비교, MiniDump 테스트, 엣지 케이스. 성공: 10개 캐릭터 60 FPS 유지","critical,day-7,testing",""
"[최종] Definition of Done 체크리스트","필수: FBX 애니메이션 임포트, 단일 애니메이션 재생, GPU 스키닝, 타임라인 UI, MiniDump. 권장: Animation Blending, State Machine, AnimNotify, 퍼포먼스 통계. 코드품질: UE Coding Standard, 리플렉션, 문서화","critical,documentation,final",""